title,price,paper_price,isbn,rating,page,publisher
ماه به روایت آه,7900,15000,9789643377038,4.33,189,انتشارات کتاب نیستان
مرگ ایوان ایلیچ,3600,9000,9789644483073,4.09,152,نشر نیلوفر
کوری,18500,37000,9789646026704,4.48,388,انتشارات مروارید
ورونیکا تصمیم می‌گیرد بمیرد,7000,nan,9644180828,4.61,236,آسیم
دقیقا چه بگویید تا حرفتان را گوش کنند؟,10000,15000,9786008913122,3.75,128,انتشارات نگاه نوین
خلاصه ۵۰  برتر در زمینه روانشناسی,8500,nan,9786005248197,4.61,448,راشین
زن بودن,6800,13500,9786009489619,3.59,208,انتشارات کتیبه پارسی
‌استراتژی اقیانوس آبی,14000,20000,9786007677209,4.53,312,انتشارات آریانا قلم
نظریه‌ی همه چیز,3800,9500,9786005492026,4.49,128,انتشارات حکمت
هر روز یک قدم نزدیک‌تر,19000,38000,9786001199295,4.6,436,نشر قطره
حال خوب باهم,9500,19000,9789644185694,4.42,304,آسیم
معجزه‌ی بزرگ ‌فکر کردن,9000,25000,9786009704217,4.24,404,انتشارات نگاه نوین
خاطرات یک بی عرضه,8000,13500,9786001880391,4.31,224,نشر ایران‌بان
آدمکش کور,19000,42000,9789643113858,3.96,655,گروه انتشاراتی ققنوس
بینوایان,9900,36300,9789643695347,4.68,424,نشر افق
قدرت عادت,12000,26000,9786006958118,3.97,354,هورمزد
شدن,34000,68000,9786006395715,3.34,570,مهراندیش
تاثیر,9000,18000,9786006958583,3.98,405,هورمزد
رازهایی درباره‌ی مردان که هر زنی باید آن‌ها را بداند,12900,37900,9645885590,4.17,380,انتشارات نسل نواندیش
قدرت هوش خلاق,4900,nan,nan,4.31,0,ناشرمولف
پدر، عشق و پسر,8200,12500,9643373290,4.58,87,انتشارات کتاب نیستان
و من دوستت دارم,4000,10000,9786008740216,3.99,80,نشر نون
آرزوهای بزرگ,9900,21000,9789643694937,4.33,416,نشر افق
دگرگونی زندگی با جادوی نظم,5500,11000,9789644429385,3.92,160,انتشارات البرز
تاملات,8000,11000,9789643116101,4.31,158,گروه انتشاراتی ققنوس
مثل یک مرد فکر کن، مثل یک زن رفتار کن,6000,15000,9789644426612,4.03,161,نشر پارو
نیروی اعتماد به‌ نفس,8000,16000,9786003400016,4.11,239,انتشارات لیوسا
آدم‌های سمی,14000,28000,9786003360211,3.37,376,انتشارات درسا
قیدار,9990,14500,9789643698324,4.57,296,نشر افق
زندگی دوم,13000,41000,9786003840195,3.55,560,نشر آموت
آنا كارنينا,19000,45000,9789640018842,3.84,1150,انتشارات امیرکبیر
یک عاشقانه‌ی آرام,7000,16000,9789645529123,4.32,272,انتشارات روزبهان
غرور و تعصب,27000,45000,9789643128432,4.52,449,نشر نی
نیروی حال,11000,20000,9789647974745,4.25,264,کلک آزادگان
چراغ دل شوهرت را روشن کن,10500,21000,9644422597,4.13,270,انتشارات البرز
آیین دوست‌یابی,14000,28000,9786006774077,4.4,287,نشر شبگیر
ای کاش وقتی ٢٠ ساله بودم می‌دانستم,8000,16000,9789646538566,4.03,228,انتشارات هامون
بابا لنگ‌دراز,12000,24000,9789643695798,4.67,347,نشر افق
زن همسایه,10000,23500,9786003840331,3.92,304,نشر آموت
سقلمه,12000,45000,9786008665656,4.17,400,هورمزد
مامان و معنی زند‌گی,15400,30000,9786001192074,4.1,343,نشر قطره
کیمیاگر,6250,12500,9789641720966,4.35,160,نشر دنیای نو
و هرروز صبح راه خانه دورتر و ‌دورتر می‌شود,4500,10000,9786007141885,4.13,70,نشر نون
سه‌شنبه‌ها با موری,6500,13000,9644422554,4.4,184,انتشارات البرز
ما تمامش می‌کنیم,10000,27000,9786003840300,3.87,384,نشر آموت
روح گریان من,11000,nan,9786002783493,4.64,239,گروه انتشاراتی ققنوس
تختت را مرتب کن,4000,12000,9786008237631,3.83,88,انتشارات آموخته
فرار از اردوگاه ۱۴,12000,20000,9786002293282,4.29,229,نشر چشمه
چگونه با هرکسی صحبت کنیم,8500,16000,9786005219470,4.08,304,ذهن‌آویز
سه دختر حوا,15000,41000,9786007141861,4.55,452,نشر نون
بنویس تا اتفاق بیفتد,7500,15000,978600948926,3.94,232,انتشارات کتیبه پارسی
اثر مرکب,4900,16900,9789642366842,4.46,248,انتشارات نسل نواندیش
پرونده هری کبر,21900,65000,9789644429316,4.32,648,انتشارات البرز
